rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653900275646572406,,,"""distance-confidence""",2,0,0,"[2226.0, 100.0]"
1653900275742570393,,,"""distance-confidence""",2,0,0,"[2231.0, 100.0]"
1653900275832471778,,,"""distance-confidence""",2,0,0,"[2231.0, 100.0]"
1653900275904277153,,,"""distance-confidence""",2,0,0,"[2231.0, 100.0]"
1653900275969084212,,,"""distance-confidence""",2,0,0,"[2231.0, 100.0]"
1653900276062867027,,,"""distance-confidence""",2,0,0,"[2236.0, 100.0]"
1653900276141404329,,,"""distance-confidence""",2,0,0,"[2236.0, 100.0]"
1653900276226496823,,,"""distance-confidence""",2,0,0,"[2236.0, 100.0]"
1653900276304045386,,,"""distance-confidence""",2,0,0,"[2236.0, 100.0]"
1653900276385924388,,,"""distance-confidence""",2,0,0,"[2242.0, 100.0]"
1653900276466899581,,,"""distance-confidence""",2,0,0,"[2242.0, 100.0]"
1653900276545435227,,,"""distance-confidence""",2,0,0,"[2242.0, 100.0]"
1653900276622171509,,,"""distance-confidence""",2,0,0,"[2242.0, 100.0]"
1653900276720608759,,,"""distance-confidence""",2,0,0,"[2248.0, 100.0]"
1653900276785295099,,,"""distance-confidence""",2,0,0,"[2248.0, 100.0]"
1653900276864251314,,,"""distance-confidence""",2,0,0,"[2248.0, 100.0]"
1653900276946054629,,,"""distance-confidence""",2,0,0,"[2248.0, 100.0]"
1653900277038003863,,,"""distance-confidence""",2,0,0,"[2254.0, 100.0]"
1653900277102542755,,,"""distance-confidence""",2,0,0,"[2254.0, 100.0]"
1653900277203545366,,,"""distance-confidence""",2,0,0,"[2254.0, 100.0]"
1653900277266192844,,,"""distance-confidence""",2,0,0,"[2254.0, 100.0]"
1653900277359071018,,,"""distance-confidence""",2,0,0,"[2261.0, 100.0]"
1653900277441559505,,,"""distance-confidence""",2,0,0,"[2261.0, 100.0]"
1653900277524051927,,,"""distance-confidence""",2,0,0,"[2261.0, 100.0]"
1653900277600440803,,,"""distance-confidence""",2,0,0,"[2261.0, 100.0]"
1653900277683883056,,,"""distance-confidence""",2,0,0,"[2272.0, 100.0]"
1653900277762119106,,,"""distance-confidence""",2,0,0,"[2272.0, 100.0]"
1653900277842299629,,,"""distance-confidence""",2,0,0,"[2272.0, 100.0]"
1653900277922124291,,,"""distance-confidence""",2,0,0,"[2272.0, 100.0]"
1653900278015597368,,,"""distance-confidence""",2,0,0,"[2283.0, 100.0]"
1653900278082065216,,,"""distance-confidence""",2,0,0,"[2283.0, 100.0]"
1653900278175848801,,,"""distance-confidence""",2,0,0,"[2283.0, 100.0]"
1653900278239682312,,,"""distance-confidence""",2,0,0,"[2283.0, 100.0]"
1653900278336609270,,,"""distance-confidence""",2,0,0,"[2295.0, 100.0]"
1653900278417331397,,,"""distance-confidence""",2,0,0,"[2295.0, 100.0]"
1653900278496635272,,,"""distance-confidence""",2,0,0,"[2295.0, 100.0]"
1653900278577065186,,,"""distance-confidence""",2,0,0,"[2295.0, 100.0]"
1653900278660338079,,,"""distance-confidence""",2,0,0,"[2310.0, 100.0]"
1653900278738793520,,,"""distance-confidence""",2,0,0,"[2310.0, 100.0]"
1653900278820334616,,,"""distance-confidence""",2,0,0,"[2310.0, 100.0]"
1653900278899530239,,,"""distance-confidence""",2,0,0,"[2310.0, 100.0]"
1653900278996221370,,,"""distance-confidence""",2,0,0,"[2324.0, 100.0]"
1653900279058649790,,,"""distance-confidence""",2,0,0,"[2324.0, 100.0]"
1653900279153125659,,,"""distance-confidence""",2,0,0,"[2324.0, 100.0]"
1653900279278285611,,,"""distance-confidence""",2,0,0,"[2338.0, 100.0]"
1653900279345017368,,,"""distance-confidence""",2,0,0,"[2338.0, 100.0]"
1653900279425744153,,,"""distance-confidence""",2,0,0,"[2338.0, 100.0]"
1653900279507274514,,,"""distance-confidence""",2,0,0,"[2338.0, 100.0]"
1653900279599869460,,,"""distance-confidence""",2,0,0,"[2352.0, 100.0]"
1653900279665366331,,,"""distance-confidence""",2,0,0,"[2352.0, 100.0]"
1653900279760706184,,,"""distance-confidence""",2,0,0,"[2352.0, 100.0]"
1653900279824277611,,,"""distance-confidence""",2,0,0,"[2352.0, 100.0]"
1653900279922659937,,,"""distance-confidence""",2,0,0,"[2364.0, 100.0]"
1653900280004125840,,,"""distance-confidence""",2,0,0,"[2364.0, 100.0]"
1653900280080915988,,,"""distance-confidence""",2,0,0,"[2364.0, 100.0]"
1653900280164240876,,,"""distance-confidence""",2,0,0,"[2364.0, 100.0]"
1653900280242032304,,,"""distance-confidence""",2,0,0,"[2375.0, 100.0]"
1653900280320747169,,,"""distance-confidence""",2,0,0,"[2375.0, 100.0]"
1653900280400479201,,,"""distance-confidence""",2,0,0,"[2375.0, 100.0]"
1653900280484633016,,,"""distance-confidence""",2,0,0,"[2375.0, 100.0]"
1653900280576124976,,,"""distance-confidence""",2,0,0,"[2387.0, 100.0]"
1653900280644564395,,,"""distance-confidence""",2,0,0,"[2387.0, 100.0]"
1653900280740233009,,,"""distance-confidence""",2,0,0,"[2387.0, 100.0]"
1653900280805796558,,,"""distance-confidence""",2,0,0,"[2387.0, 100.0]"
1653900280900466935,,,"""distance-confidence""",2,0,0,"[2398.0, 100.0]"
1653900280979899067,,,"""distance-confidence""",2,0,0,"[2398.0, 100.0]"
1653900281057435162,,,"""distance-confidence""",2,0,0,"[2398.0, 100.0]"
1653900281125438959,,,"""distance-confidence""",2,0,0,"[2398.0, 100.0]"
1653900281222045318,,,"""distance-confidence""",2,0,0,"[2408.0, 100.0]"
1653900281301896801,,,"""distance-confidence""",2,0,0,"[2408.0, 100.0]"
1653900281380893061,,,"""distance-confidence""",2,0,0,"[2408.0, 100.0]"
1653900281460458668,,,"""distance-confidence""",2,0,0,"[2408.0, 100.0]"
1653900281553518125,,,"""distance-confidence""",2,0,0,"[2415.0, 100.0]"
1653900281619271903,,,"""distance-confidence""",2,0,0,"[2415.0, 100.0]"
1653900281714540064,,,"""distance-confidence""",2,0,0,"[2415.0, 100.0]"
1653900281777740769,,,"""distance-confidence""",2,0,0,"[2415.0, 100.0]"
1653900281872785246,,,"""distance-confidence""",2,0,0,"[2424.0, 100.0]"
1653900281957093426,,,"""distance-confidence""",2,0,0,"[2424.0, 100.0]"
1653900282034790146,,,"""distance-confidence""",2,0,0,"[2424.0, 100.0]"
1653900282100080058,,,"""distance-confidence""",2,0,0,"[2424.0, 100.0]"
1653900282194966373,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282277267459,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282355397306,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282435040104,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282532640268,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282597234716,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282694376074,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282760121409,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282853895352,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900282930364196,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900283009427442,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900283073525248,,,"""distance-confidence""",2,0,0,"[2423.0, 100.0]"
1653900283172807281,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283254228828,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283330249800,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283540074742,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283546418423,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283618210353,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283701715792,,,"""distance-confidence""",2,0,0,"[2422.0, 100.0]"
1653900283797040310,,,"""distance-confidence""",2,0,0,"[2421.0, 100.0]"
1653900283909822957,,,"""distance-confidence""",2,0,0,"[2421.0, 100.0]"
1653900283989191486,,,"""distance-confidence""",2,0,0,"[2421.0, 100.0]"
1653900284084676483,,,"""distance-confidence""",2,0,0,"[2419.0, 100.0]"
1653900284148364839,,,"""distance-confidence""",2,0,0,"[2419.0, 100.0]"
1653900284244353275,,,"""distance-confidence""",2,0,0,"[2419.0, 100.0]"
1653900284372880232,,,"""distance-confidence""",2,0,0,"[2418.0, 100.0]"
1653900284485685610,,,"""distance-confidence""",2,0,0,"[2418.0, 100.0]"
1653900284560818589,,,"""distance-confidence""",2,0,0,"[2418.0, 100.0]"
1653900284659513962,,,"""distance-confidence""",2,0,0,"[2413.0, 100.0]"
1653900284723842602,,,"""distance-confidence""",2,0,0,"[2413.0, 100.0]"
1653900284822138729,,,"""distance-confidence""",2,0,0,"[2413.0, 100.0]"
1653900284883726850,,,"""distance-confidence""",2,0,0,"[2413.0, 100.0]"
1653900284982920373,,,"""distance-confidence""",2,0,0,"[2404.0, 100.0]"
1653900285062121277,,,"""distance-confidence""",2,0,0,"[2404.0, 100.0]"
1653900285142566756,,,"""distance-confidence""",2,0,0,"[2404.0, 100.0]"
1653900285220677375,,,"""distance-confidence""",2,0,0,"[2404.0, 100.0]"
1653900285299083075,,,"""distance-confidence""",2,0,0,"[2396.0, 100.0]"
1653900285379429638,,,"""distance-confidence""",2,0,0,"[2396.0, 100.0]"
1653900285459463138,,,"""distance-confidence""",2,0,0,"[2396.0, 100.0]"
1653900285541017183,,,"""distance-confidence""",2,0,0,"[2396.0, 100.0]"
1653900285637233739,,,"""distance-confidence""",2,0,0,"[2386.0, 100.0]"
1653900285704678083,,,"""distance-confidence""",2,0,0,"[2386.0, 100.0]"
1653900285798441512,,,"""distance-confidence""",2,0,0,"[2386.0, 100.0]"
1653900285860761705,,,"""distance-confidence""",2,0,0,"[2386.0, 100.0]"
1653900285958209951,,,"""distance-confidence""",2,0,0,"[2377.0, 100.0]"
1653900286034770869,,,"""distance-confidence""",2,0,0,"[2377.0, 100.0]"
1653900286116882523,,,"""distance-confidence""",2,0,0,"[2377.0, 100.0]"
1653900286199635623,,,"""distance-confidence""",2,0,0,"[2377.0, 100.0]"
1653900286277666135,,,"""distance-confidence""",2,0,0,"[2369.0, 100.0]"
1653900286358628371,,,"""distance-confidence""",2,0,0,"[2369.0, 100.0]"
1653900286435337662,,,"""distance-confidence""",2,0,0,"[2369.0, 100.0]"
1653900286515026010,,,"""distance-confidence""",2,0,0,"[2369.0, 100.0]"
1653900286616963499,,,"""distance-confidence""",2,0,0,"[2362.0, 100.0]"
1653900286677820011,,,"""distance-confidence""",2,0,0,"[2362.0, 100.0]"
1653900286775251117,,,"""distance-confidence""",2,0,0,"[2362.0, 100.0]"
1653900286836580177,,,"""distance-confidence""",2,0,0,"[2362.0, 100.0]"
1653900286933139651,,,"""distance-confidence""",2,0,0,"[2355.0, 100.0]"
1653900287015070989,,,"""distance-confidence""",2,0,0,"[2355.0, 100.0]"
1653900287090816228,,,"""distance-confidence""",2,0,0,"[2355.0, 100.0]"
1653900287175034018,,,"""distance-confidence""",2,0,0,"[2355.0, 100.0]"
1653900287254027252,,,"""distance-confidence""",2,0,0,"[2349.0, 100.0]"
1653900287333823409,,,"""distance-confidence""",2,0,0,"[2349.0, 100.0]"
1653900287411661143,,,"""distance-confidence""",2,0,0,"[2349.0, 100.0]"
1653900287495873258,,,"""distance-confidence""",2,0,0,"[2349.0, 100.0]"
1653900287586783845,,,"""distance-confidence""",2,0,0,"[2344.0, 100.0]"
