rosbagTimestamp,linear,x,y,z,angular,field.x,field.y,fdata
1653900868768738903,,0.0,0.0,0.0,,0.00588335419632,-0.00927710444017,-0.0287755869732
1653900868802533204,,0.0,0.0,0.0,,0.00552263483077,-0.00948286388892,-0.0322521532608
1653900868833850881,,0.0,0.0,0.0,,0.00342320543464,-0.0107848686995,-0.0361009648581
1653900868869261289,,0.0,0.0,0.0,,0.00451262060726,-0.0108540243648,-0.0398780594691
1653900868901391500,,0.0,0.0,0.0,,0.00526009943455,-0.0117897602811,-0.0427057577855
1653900868933853663,,0.0,0.0,0.0,,0.00586158296834,-0.0136518406036,-0.0444986824426
1653900868965600751,,0.0,0.0,0.0,,0.00649935188209,-0.0149820199444,-0.0491466261728
1653900868997069308,,0.0,0.0,0.0,,0.0062355358254,-0.0160705813434,-0.0529681170134
1653900869032992400,,0.0,0.0,0.0,,0.00669998868896,-0.0172624493536,-0.0564754191523
1653900869065636744,,0.0,0.0,0.0,,0.00681268681026,-0.0180837796013,-0.0603344760333
1653900869099031315,,0.0,0.0,0.0,,0.00764511611536,-0.0193132136519,-0.0628855516883
1653900869133854557,,0.0,0.0,0.0,,0.00745899346047,-0.0200380674775,-0.0649926650473
1653900869164402160,,0.0,0.0,0.0,,0.0067136490673,-0.0204179967501,-0.0677964577015
1653900869200009317,,0.0,0.0,0.0,,0.00795930481718,-0.0218463600603,-0.0701665333435
1653900869231588447,,0.0,0.0,0.0,,0.00798491802657,-0.0223552091535,-0.0729156844845
1653900869262990623,,0.0,0.0,0.0,,0.007771474615,-0.0228828412668,-0.0751389110593
1653900869294708245,,0.0,0.0,0.0,,0.00793966802331,-0.0248140772547,-0.0789535717108
1653900869328635876,,0.0,0.0,0.0,,0.0078803307549,-0.0270509642078,-0.0809650624213
1653900869364330192,,0.0,0.0,0.0,,0.00870977185223,-0.0283094265624,-0.0841889117096
1653900869395411110,,0.0,0.0,0.0,,0.00808352888271,-0.0288618181115,-0.0873547043899
1653900869428309636,,0.0,0.0,0.0,,0.00855438504862,-0.0303337238777,-0.0901175159091
1653900869460488854,,0.0,0.0,0.0,,0.0104860479233,-0.0299495257369,-0.0927812896855
1653900869493989009,,0.0,0.0,0.0,,0.0121987178576,-0.0317646485088,-0.0968179314849
1653900869528448512,,0.0,0.0,0.0,,0.012504368823,-0.0336216061894,-0.100267177016
1653900869560521961,,0.0,0.0,0.0,,0.0121184631349,-0.0341722901912,-0.102971931927
1653900869593930067,,0.0,0.0,0.0,,0.0129987037642,-0.0343481675623,-0.104505309396
1653900869625495892,,0.0,0.0,0.0,,0.0141542863944,-0.0350653374252,-0.106656818984
1653900869657305081,,0.0,0.0,0.0,,0.0153124303455,-0.034950077983,-0.109358158801
1653900869691802550,,0.0,0.0,0.0,,0.0163121992853,-0.0353317148028,-0.112004857104
