rosbagTimestamp,channels
1653900467849344063,"[1500, 1500, 1500, 1500, 1517, 1500, 1500, 1500]"
1653900467859478945,"[1500, 1500, 1500, 1500, 1521, 1500, 1500, 1500]"
1653900467868960181,"[1500, 1500, 1500, 1500, 1524, 1500, 1500, 1500]"
1653900467879773146,"[1500, 1500, 1500, 1500, 1533, 1500, 1500, 1500]"
1653900467889039888,"[1500, 1500, 1500, 1500, 1539, 1500, 1500, 1500]"
1653900467898942895,"[1500, 1500, 1500, 1500, 1545, 1500, 1500, 1500]"
1653900467908755272,"[1500, 1500, 1500, 1500, 1558, 1500, 1500, 1500]"
1653900467919680285,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653900467929117660,"[1500, 1500, 1500, 1500, 1571, 1500, 1500, 1500]"
1653900467940379900,"[1500, 1500, 1500, 1500, 1579, 1500, 1500, 1500]"
1653900467949114857,"[1500, 1500, 1500, 1500, 1580, 1500, 1500, 1500]"
1653900469228962742,"[1500, 1500, 1500, 1500, 1564, 1500, 1500, 1500]"
1653900469239967447,"[1500, 1500, 1500, 1500, 1551, 1500, 1500, 1500]"
1653900469249294042,"[1500, 1500, 1500, 1500, 1544, 1500, 1500, 1500]"
1653900469259223471,"[1500, 1500, 1500, 1500, 1539, 1500, 1500, 1500]"
1653900469269531361,"[1500, 1500, 1500, 1500, 1530, 1500, 1500, 1500]"
1653900469279123696,"[1500, 1500, 1500, 1500, 1527, 1500, 1500, 1500]"
1653900469289162263,"[1500, 1500, 1500, 1500, 1522, 1500, 1500, 1500]"
1653900469298804228,"[1500, 1500, 1500, 1500, 1520, 1500, 1500, 1500]"
1653900469309547871,"[1500, 1500, 1500, 1500, 1518, 1500, 1500, 1500]"
1653900469318667216,"[1500, 1500, 1500, 1500, 1516, 1500, 1500, 1500]"
1653900469328939381,"[1500, 1500, 1500, 1500, 1515, 1500, 1500, 1500]"
1653900469339562628,"[1500, 1500, 1500, 1500, 1514, 1500, 1500, 1500]"
1653900469349141843,"[1500, 1500, 1500, 1500, 1514, 1500, 1500, 1500]"
1653900469378834208,"[1500, 1500, 1500, 1500, 1517, 1500, 1500, 1500]"
1653900469388748321,"[1500, 1500, 1500, 1500, 1519, 1500, 1500, 1500]"
1653900469398937016,"[1500, 1500, 1500, 1500, 1521, 1500, 1500, 1500]"
1653900469409206142,"[1500, 1500, 1500, 1500, 1531, 1500, 1500, 1500]"
1653900469418780330,"[1500, 1500, 1500, 1500, 1537, 1500, 1500, 1500]"
1653900469429247247,"[1500, 1500, 1500, 1500, 1545, 1500, 1500, 1500]"
1653900469438791055,"[1500, 1500, 1500, 1500, 1553, 1500, 1500, 1500]"
1653900469448641828,"[1500, 1500, 1500, 1500, 1569, 1500, 1500, 1500]"
1653900469459915762,"[1500, 1500, 1500, 1500, 1575, 1500, 1500, 1500]"
1653900469468856375,"[1500, 1500, 1500, 1500, 1580, 1500, 1500, 1500]"
1653900470048789523,"[1500, 1500, 1500, 1500, 1560, 1500, 1500, 1500]"
1653900470059848676,"[1500, 1500, 1500, 1500, 1556, 1500, 1500, 1500]"
1653900470068868347,"[1500, 1500, 1500, 1500, 1551, 1500, 1500, 1500]"
1653900470079354317,"[1500, 1500, 1500, 1500, 1543, 1500, 1500, 1500]"
1653900470089219406,"[1500, 1500, 1500, 1500, 1540, 1500, 1500, 1500]"
1653900470098878563,"[1500, 1500, 1500, 1500, 1538, 1500, 1500, 1500]"
1653900470109216918,"[1500, 1500, 1500, 1500, 1533, 1500, 1500, 1500]"
1653900470120160226,"[1500, 1500, 1500, 1500, 1531, 1500, 1500, 1500]"
1653900470128688476,"[1500, 1500, 1500, 1500, 1529, 1500, 1500, 1500]"
1653900470138899200,"[1500, 1500, 1500, 1500, 1526, 1500, 1500, 1500]"
1653900470149727562,"[1500, 1500, 1500, 1500, 1525, 1500, 1500, 1500]"
1653900470158892242,"[1500, 1500, 1500, 1500, 1523, 1500, 1500, 1500]"
1653900470168718768,"[1500, 1500, 1500, 1500, 1521, 1500, 1500, 1500]"
1653900470179866346,"[1500, 1500, 1500, 1500, 1520, 1500, 1500, 1500]"
1653900470189360299,"[1500, 1500, 1500, 1500, 1519, 1500, 1500, 1500]"
1653900470199161550,"[1500, 1500, 1500, 1500, 1516, 1500, 1500, 1500]"
1653900470209691028,"[1500, 1500, 1500, 1500, 1515, 1500, 1500, 1500]"
1653900470219076869,"[1500, 1500, 1500, 1500, 1514, 1500, 1500, 1500]"
1653900470229354524,"[1500, 1500, 1500, 1500, 1511, 1500, 1500, 1500]"
1653900470239746993,"[1500, 1500, 1500, 1500, 1510, 1500, 1500, 1500]"
1653900470249243646,"[1500, 1500, 1500, 1500, 1509, 1500, 1500, 1500]"
1653900470258807613,"[1500, 1500, 1500, 1500, 1507, 1500, 1500, 1500]"
1653900470269507208,"[1500, 1500, 1500, 1500, 1505, 1500, 1500, 1500]"
