rosbagTimestamp,linear,x,y,z,angular,x,y,z
1653900365211600668,,0.0,0.0,0.0,,0.147511648866,0.265771945394,0.0833911669589
1653900365244094991,,0.0,0.0,0.0,,0.136876017131,0.2397616779,0.0863421288454
1653900365275979435,,0.0,0.0,0.0,,0.0826445419052,0.279094069287,0.0608823852708
1653900365307793770,,0.0,0.0,0.0,,0.105790398816,0.208699484999,0.0798137486594
1653900365342756446,,0.0,0.0,0.0,,0.0428195631445,0.202519190996,0.0694001114135
1653900365377143519,,0.0,0.0,0.0,,0.062305932764,0.112848292085,0.0498124628952
1653900365407783054,,0.0,0.0,0.0,,-0.0154734600593,0.0308855684781,0.0436859966531
1653900365440130230,,0.0,0.0,0.0,,0.0454059636841,0.00134370631707,0.134293045027
1653900365476921883,,0.0,0.0,0.0,,-0.0516535924128,-0.0753118535835,0.138874661217
1653900365507304504,,0.0,0.0,0.0,,-0.0562942990773,-0.151784385759,0.0813277027776
1653900365540269841,,0.0,0.0,0.0,,-0.052059021503,-0.131278210199,0.0857820533335
1653900365573156813,,0.0,0.0,0.0,,-0.0168715677659,-0.196792717707,0.144718314938
1653900365606255768,,0.0,0.0,0.0,,-0.0610489311628,-0.215488039363,0.0965856516923
1653900365638641778,,0.0,0.0,0.0,,-0.0356601441823,-0.214266729502,0.0999401283484
1653900365673437166,,0.0,0.0,0.0,,0.00232617300028,-0.19853469609,0.138109466586
1653900365706588209,,0.0,0.0,0.0,,-0.0701418539491,-0.21980796059,0.131309052772
1653900365739266832,,0.0,0.0,0.0,,-0.055952549495,-0.220296092332,0.0807875308638
1653900365771254703,,0.0,0.0,0.0,,-0.0393757470804,-0.134294339027,0.180957057519
1653900365806793745,,0.0,0.0,0.0,,-0.0686798666315,-0.146674964033,0.257369692137
1653900365836727818,,0.0,0.0,0.0,,-0.0413541540622,-0.118043784867,0.199896051509
1653900365870808914,,0.0,0.0,0.0,,0.029095525307,-0.0268159763519,0.227356240098
1653900365902473808,,0.0,0.0,0.0,,0.0358634290215,-0.0133257524315,0.226298094385
1653900365937659557,,0.0,0.0,0.0,,0.0244729813428,0.0133716694455,0.160745140383
1653900365967767028,,0.0,0.0,0.0,,0.0253171366953,0.0720582022589,0.222256436665
1653900366002772084,,0.0,0.0,0.0,,0.00692777282974,0.111428133006,0.191012803524
1653900366037289759,,0.0,0.0,0.0,,0.0402319353053,0.176125152248,0.202002791342
1653900366068128117,,0.0,0.0,0.0,,-0.0116352272511,0.199309482334,0.120806356263
1653900366100329088,,0.0,0.0,0.0,,-0.000481034748597,0.203249727753,0.182219521937
1653900366137286424,,0.0,0.0,0.0,,-0.0601565709498,0.256943312242,0.198089893361
1653900366166833021,,0.0,0.0,0.0,,-0.0462011070933,0.104723475243,0.0947658331653
1653900366200150658,,0.0,0.0,0.0,,-0.0427513079436,0.185791324007,0.167193692733
1653900366233226304,,0.0,0.0,0.0,,-0.0607596419689,0.233203949245,0.141653907879
1653900366266148013,,0.0,0.0,0.0,,-0.0635509615239,0.159907068167,0.119794901296
1653900366298762457,,0.0,0.0,0.0,,-0.0729616014984,0.144789645059,0.137871690626
1653900366332938839,,0.0,0.0,0.0,,-0.0647787347179,0.090236003683,0.122871741435
1653900366367321027,,0.0,0.0,0.0,,-0.0926096411619,0.0852080372987,0.127325985269
1653900366399098304,,0.0,0.0,0.0,,-0.0912712108992,-0.0757422889034,0.241870552167
1653900366430356462,,0.0,0.0,0.0,,-0.0154575718654,0.0036421850347,0.178444935286
1653900366467443551,,0.0,0.0,0.0,,-6.57672511878e-06,-0.0331636366695,0.174162513398
1653900366499376585,,0.0,0.0,0.0,,-0.014092201042,-0.107354285352,0.241222484608
1653900366530501774,,0.0,0.0,0.0,,0.07079633815,-0.0638881487533,0.28155555207
1653900366563112072,,0.0,0.0,0.0,,0.100706657,-0.0461359534919,0.257461686247
1653900366595941855,,0.0,0.0,0.0,,-0.0076446492079,-0.0279842722053,0.243250197018
1653900366627971157,,0.0,0.0,0.0,,0.134428061325,-0.0348519073538,0.231503338863
1653900366662418903,,0.0,0.0,0.0,,0.0414312738348,-0.0540362412058,0.286974720207
1653900366695964023,,0.0,0.0,0.0,,0.0651955563502,0.0105869266157,0.240061565893
1653900366727674647,,0.0,0.0,0.0,,0.100808749652,0.0757688225875,0.203784083333
1653900366759990932,,0.0,0.0,0.0,,0.146377944185,0.155695082605,0.222198273336
1653900366796053806,,0.0,0.0,0.0,,0.142357764209,0.149708461818,0.197280302501
1653900366827185533,,0.0,0.0,0.0,,0.148246641253,0.129856623717,0.140873291962
1653900366860047155,,0.0,0.0,0.0,,0.0950344783792,0.126611643531,0.220508975455
1653900366893520190,,0.0,0.0,0.0,,0.182740964192,0.110817164581,0.201092721996
1653900366926212738,,0.0,0.0,0.0,,0.124796707522,0.121930936237,0.151223323071
1653900366958797618,,0.0,0.0,0.0,,0.130376585208,0.100238709001,0.202064049601
1653900366993300663,,0.0,0.0,0.0,,0.148554760158,0.068231375333,0.177886674043
1653900367026593897,,0.0,0.0,0.0,,0.116738551725,0.0668045728278,0.201608668083
1653900367058703364,,0.0,0.0,0.0,,0.0829060367648,-0.0140903067318,0.259513571123
1653900367091666579,,0.0,0.0,0.0,,0.11528863063,-0.0624287961278,0.227770106873
1653900367126960679,,0.0,0.0,0.0,,0.0304265317411,-0.0969853244804,0.205584531871
1653900367158854229,,0.0,0.0,0.0,,0.0749210787176,-0.147653548714,0.255153775999
1653900367189662669,,0.0,0.0,0.0,,0.0142165051489,-0.172537355263,0.206275981803
1653900367222241030,,0.0,0.0,0.0,,0.0724301674242,-0.158774710848,0.264414605379
1653900367255333492,,0.0,0.0,0.0,,0.0744228350939,-0.163392532377,0.208531331611
1653900367288322475,,0.0,0.0,0.0,,0.0444427335884,-0.144322564173,0.30709947239
1653900367323685778,,0.0,0.0,0.0,,0.0786420643918,-0.118888914055,0.267150362945
1653900367355576850,,0.0,0.0,0.0,,0.096046013387,-0.0785064611244,0.24070701877
1653900367388558300,,0.0,0.0,0.0,,0.116654961949,0.00622459685056,0.252201106565
1653900367420565282,,0.0,0.0,0.0,,0.140085872536,-0.0182444891499,0.317236060088
