rosbagTimestamp,channels
1653911553678252340,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553708550389,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553744037769,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553776831886,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553809253678,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553844374006,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911553877335265,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911553908425917,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911553943020576,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911553975767102,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554008604449,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554040068698,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554075983234,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554105669292,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554138696124,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554171890784,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554206537014,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554238167857,"[1500, 1500, 1500, 1501, 1566, 1500, 1500, 1500]"
1653911554275368558,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554305625785,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554338576008,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554368169638,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554405890343,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554437408091,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554469391348,"[1500, 1500, 1500, 1500, 1566, 1500, 1500, 1500]"
1653911554500521153,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554537808673,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554568882299,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554604019153,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554636794419,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554668497499,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554702777246,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554735615901,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554765189190,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554800021439,"[1500, 1500, 1500, 1500, 1565, 1500, 1500, 1500]"
1653911554832411643,"[1500, 1500, 1500, 1500, 1564, 1500, 1500, 1500]"
1653911554866055692,"[1500, 1500, 1500, 1500, 1564, 1500, 1500, 1500]"
1653911554899423172,"[1500, 1500, 1500, 1500, 1564, 1500, 1500, 1500]"
